,NExp,NMFCC,Nfft,NwinL,NhopL,Overlap,Ksize,NRep,AVGPreprocesTime,TrainTime,F1Score,TestAcc,EpochsRan,VimPreprocessTime,VimPredictTime,VimTFLitePredictTime
28,6,3,256,256,128,0.5,3,4,0 days 00:00:00.014311,0 days 00:00:36.576241,70.0,68.0,38,0 days 00:00:00.050008,0 days 00:00:00.266728,0 days 00:00:00.002868
29,6,3,256,256,128,0.5,3,5,0 days 00:00:00.014311,0 days 00:00:40.336871,67.0,70.0,34,0 days 00:00:00.059096,0 days 00:00:00.289048,0 days 00:00:00.003033
30,7,3,256,256,128,0.5,5,1,0 days 00:00:00.014311,0 days 00:01:19.749957,73.0,71.0,52,0 days 00:00:00.039481,0 days 00:00:00.271198,0 days 00:00:00.007342
31,7,3,256,256,128,0.5,5,2,0 days 00:00:00.014311,0 days 00:01:56.097615,74.0,74.0,80,0 days 00:00:00.059413,0 days 00:00:00.271211,0 days 00:00:00.007338
32,7,3,256,256,128,0.5,5,3,0 days 00:00:00.014311,0 days 00:00:57.385765,61.0,69.0,37,0 days 00:00:00.054351,0 days 00:00:00.278747,0 days 00:00:00.007448
33,7,3,256,256,128,0.5,5,4,0 days 00:00:00.014311,0 days 00:00:37.459160,71.0,67.0,25,0 days 00:00:00.055512,0 days 00:00:00.276501,0 days 00:00:00.007155
34,7,3,256,256,128,0.5,5,5,0 days 00:00:00.014311,0 days 00:01:25.193465,72.0,74.0,63,0 days 00:00:00.055464,0 days 00:00:00.271886,0 days 00:00:00.007328
35,8,3,256,256,128,0.5,7,1,0 days 00:00:00.014311,0 days 00:01:30.812993,69.0,65.0,39,0 days 00:00:00.057209,0 days 00:00:00.281497,0 days 00:00:00.014195
36,8,3,256,256,128,0.5,7,2,0 days 00:00:00.014311,0 days 00:00:54.591937,69.0,69.0,25,0 days 00:00:00.062420,0 days 00:00:00.269281,0 days 00:00:00.014106
37,8,3,256,256,128,0.5,7,3,0 days 00:00:00.014311,0 days 00:01:15.951184,72.0,69.0,37,0 days 00:00:00.039031,0 days 00:00:00.272332,0 days 00:00:00.014170
38,8,3,256,256,128,0.5,7,4,0 days 00:00:00.014311,0 days 00:01:17.955643,71.0,67.0,37,0 days 00:00:00.054147,0 days 00:00:00.282120,0 days 00:00:00.014298
39,8,3,256,256,128,0.5,7,5,0 days 00:00:00.014311,0 days 00:01:32.657682,69.0,65.0,40,0 days 00:00:00.052314,0 days 00:00:00.277523,0 days 00:00:00.014125
40,9,3,256,256,192,0.25,2,1,0 days 00:00:00.012500,0 days 00:00:26.508697,56.00000000000001,63.0,25,0 days 00:00:00.062549,0 days 00:00:00.275435,0 days 00:00:00.000931
41,9,3,256,256,192,0.25,2,2,0 days 00:00:00.012500,0 days 00:00:14.381278,67.0,56.00000000000001,18,0 days 00:00:00.052491,0 days 00:00:00.263116,0 days 00:00:00.001103
42,9,3,256,256,192,0.25,2,3,0 days 00:00:00.012500,0 days 00:00:27.230556,71.0,68.0,41,0 days 00:00:00.059997,0 days 00:00:00.263656,0 days 00:00:00.001056
43,9,3,256,256,192,0.25,2,4,0 days 00:00:00.012500,0 days 00:00:41.242860,60.0,62.0,46,0 days 00:00:00.048732,0 days 00:00:00.261309,0 days 00:00:00.001045
44,9,3,256,256,192,0.25,2,5,0 days 00:00:00.012500,0 days 00:00:19.433556,69.0,61.0,29,0 days 00:00:00.060469,0 days 00:00:00.262672,0 days 00:00:00.001022
45,10,3,256,256,192,0.25,3,1,0 days 00:00:00.012500,0 days 00:00:56.210487,69.0,70.0,62,0 days 00:00:00.050151,0 days 00:00:00.273907,0 days 00:00:00.002043
46,10,3,256,256,192,0.25,3,2,0 days 00:00:00.012500,0 days 00:00:15.619832,69.0,57.99999999999999,18,0 days 00:00:00.047556,0 days 00:00:00.264045,0 days 00:00:00.001978
47,10,3,256,256,192,0.25,3,3,0 days 00:00:00.012500,0 days 00:00:19.407734,70.0,69.0,23,0 days 00:00:00.048179,0 days 00:00:00.269592,0 days 00:00:00.002004
48,10,3,256,256,192,0.25,3,4,0 days 00:00:00.012500,0 days 00:00:32.197508,68.0,67.0,34,0 days 00:00:00.060099,0 days 00:00:00.262761,0 days 00:00:00.001976
49,10,3,256,256,192,0.25,3,5,0 days 00:00:00.012500,0 days 00:00:34.021773,49.0,53.0,43,0 days 00:00:00.060209,0 days 00:00:00.283847,0 days 00:00:00.002041
50,11,3,256,256,192,0.25,5,1,0 days 00:00:00.012500,0 days 00:00:48.737463,72.0,72.0,34,0 days 00:00:00.056588,0 days 00:00:00.281758,0 days 00:00:00.005033
51,11,3,256,256,192,0.25,5,2,0 days 00:00:00.012500,0 days 00:01:23.767566,73.0,74.0,76,0 days 00:00:00.036664,0 days 00:00:00.272483,0 days 00:00:00.005079
52,11,3,256,256,192,0.25,5,3,0 days 00:00:00.012500,0 days 00:00:28.769654,73.0,74.0,25,0 days 00:00:00.070537,0 days 00:00:00.282568,0 days 00:00:00.005081
53,11,3,256,256,192,0.25,5,4,0 days 00:00:00.012500,0 days 00:00:37.653040,40.0,61.0,32,0 days 00:00:00.034068,0 days 00:00:00.295935,0 days 00:00:00.005014
54,11,3,256,256,192,0.25,5,5,0 days 00:00:00.012500,0 days 00:01:02.672353,65.0,71.0,56,0 days 00:00:00.049113,0 days 00:00:00.272512,0 days 00:00:00.005043
55,12,3,256,256,192,0.25,7,1,0 days 00:00:00.012500,0 days 00:01:08.208632,72.0,70.0,39,0 days 00:00:00.046780,0 days 00:00:00.274594,0 days 00:00:00.009654
56,12,3,256,256,192,0.25,7,2,0 days 00:00:00.012500,0 days 00:00:59.987247,70.0,67.0,37,0 days 00:00:00.047453,0 days 00:00:00.277150,0 days 00:00:00.009770
57,12,3,256,256,192,0.25,7,3,0 days 00:00:00.012500,0 days 00:00:52.116811,65.0,70.0,34,0 days 00:00:00.051894,0 days 00:00:01.075230,0 days 00:00:00.009875
