,NExp,NMFCC,Nfft,NwinL,NhopL,Overlap,Ksize,AVGPreprocesTime,AVGTrainTime,F1Score,TestAcc,EpochsRan,FLOPS,AVGVimPreprocessTime,AVGVimPredictTime,AVGVimTFLitePredictTime
31,32,3,512,256,256,0.0,7,0 days 00:00:00.009995,0 days 00:01:19.012034,94.2,94.4,80,37578958.0,0 days 00:00:00.049837,0 days 00:00:00.278788,0 days 00:00:00.007383
32,33,3,512,512,128,0.75,2,0 days 00:00:00.012793,0 days 00:00:26.715822,78.2,74.6,35,6188142.0,0 days 00:00:00.051535,0 days 00:00:00.273528,0 days 00:00:00.001433
33,34,3,512,512,128,0.75,3,0 days 00:00:00.012793,0 days 00:01:18.542006,95.4,95.8,80,13795902.0,0 days 00:00:00.056472,0 days 00:00:00.279789,0 days 00:00:00.002942
34,35,3,512,512,128,0.75,5,0 days 00:00:00.012793,0 days 00:01:20.343887,94.8,95.4,76,38140734.0,0 days 00:00:00.058867,0 days 00:00:00.287847,0 days 00:00:00.007340
35,36,3,512,512,128,0.75,7,0 days 00:00:00.012793,0 days 00:01:34.769549,96.8,96.8,74,74657982.0,0 days 00:00:00.056607,0 days 00:00:00.292169,0 days 00:00:00.014255
36,37,3,512,512,256,0.5,2,0 days 00:00:00.009367,0 days 00:00:14.708528,74.4,69.6,28,3114718.0,0 days 00:00:00.045804,0 days 00:00:00.282707,0 days 00:00:00.000776
37,38,3,512,512,256,0.5,3,0 days 00:00:00.009367,0 days 00:00:49.240201,84.8,83.4,65,6944078.0,0 days 00:00:00.056969,0 days 00:00:00.275330,0 days 00:00:00.001529
38,39,3,512,512,256,0.5,5,0 days 00:00:00.009367,0 days 00:01:10.054775,92.0,92.2,80,19198030.0,0 days 00:00:00.054397,0 days 00:00:00.280772,0 days 00:00:00.003839
39,40,3,512,512,256,0.5,7,0 days 00:00:00.009367,0 days 00:01:17.956704,93.6,93.6,80,37578958.0,0 days 00:00:00.045834,0 days 00:00:00.278239,0 days 00:00:00.007329
40,41,3,512,512,384,0.25,2,0 days 00:00:00.008757,0 days 00:00:25.879374,81.2,80.4,41,2046022.0,0 days 00:00:00.043562,0 days 00:00:00.271304,0 days 00:00:00.000521
41,42,3,512,512,384,0.25,3,0 days 00:00:00.008757,0 days 00:01:09.115858,92.6,92.8,80,4561222.0,0 days 00:00:00.040521,0 days 00:00:00.275837,0 days 00:00:00.000984
42,43,3,512,512,384,0.25,5,0 days 00:00:00.008757,0 days 00:01:24.381961,94.8,95.4,80,12609862.0,0 days 00:00:00.050282,0 days 00:00:00.282070,0 days 00:00:00.002515
43,44,3,512,512,384,0.25,7,0 days 00:00:00.008757,0 days 00:01:14.215394,94.0,94.8,79,24682822.0,0 days 00:00:00.054813,0 days 00:00:00.278073,0 days 00:00:00.004700
44,45,3,512,512,512,0.0,2,0 days 00:00:00.007277,0 days 00:00:48.474857,84.8,85.0,76,1551302.0,0 days 00:00:00.054222,0 days 00:00:00.273318,0 days 00:00:00.000457
45,46,3,512,512,512,0.0,3,0 days 00:00:00.007277,0 days 00:01:11.784761,92.0,92.4,80,3458182.0,0 days 00:00:00.048150,0 days 00:00:00.270242,0 days 00:00:00.000794
46,47,3,512,512,512,0.0,5,0 days 00:00:00.007277,0 days 00:01:03.012677,91.2,92.0,80,9560198.0,0 days 00:00:00.042568,0 days 00:00:00.276393,0 days 00:00:00.002020
47,48,3,512,512,512,0.0,7,0 days 00:00:00.007277,0 days 00:01:06.292411,93.8,94.2,80,18713222.0,0 days 00:00:00.051413,0 days 00:00:00.279554,0 days 00:00:00.003754
