,NExp,NMFCC,Nfft,NwinL,NhopL,Overlap,Ksize,NRep,AVGPreprocesTime,TrainTime,F1Score,TestAcc,EpochsRan,VimPreprocessTime,VimPredictTime,VimTFLitePredictTime
28,6,3,256,256,128,0.5,3,4,0 days 00:00:00.010789,0 days 00:00:30.560704,91.0,91.0,62,0 days 00:00:00.044698,0 days 00:00:00.269289,0 days 00:00:00.002878
29,6,3,256,256,128,0.5,3,5,0 days 00:00:00.010789,0 days 00:00:27.710213,88.0,87.0,62,0 days 00:00:00.057577,0 days 00:00:00.268755,0 days 00:00:00.002898
30,7,3,256,256,128,0.5,5,1,0 days 00:00:00.010789,0 days 00:00:22.997631,88.0,87.0,44,0 days 00:00:00.047412,0 days 00:00:00.273735,0 days 00:00:00.007402
31,7,3,256,256,128,0.5,5,2,0 days 00:00:00.010789,0 days 00:00:26.353535,92.0,91.0,62,0 days 00:00:00.053388,0 days 00:00:00.286649,0 days 00:00:00.007278
32,7,3,256,256,128,0.5,5,3,0 days 00:00:00.010789,0 days 00:00:04.978141,52.0,67.0,15,0 days 00:00:00.043315,0 days 00:00:00.272887,0 days 00:00:00.007341
33,7,3,256,256,128,0.5,5,4,0 days 00:00:00.010789,0 days 00:00:33.024067,94.0,94.0,80,0 days 00:00:00.038961,0 days 00:00:00.282363,0 days 00:00:00.007436
34,7,3,256,256,128,0.5,5,5,0 days 00:00:00.010789,0 days 00:00:41.593411,95.0,95.0,80,0 days 00:00:00.038322,0 days 00:00:00.273447,0 days 00:00:00.007263
35,8,3,256,256,128,0.5,7,1,0 days 00:00:00.010789,0 days 00:00:39.375571,94.0,94.0,80,0 days 00:00:00.030080,0 days 00:00:00.271056,0 days 00:00:00.013905
36,8,3,256,256,128,0.5,7,2,0 days 00:00:00.010789,0 days 00:00:23.482835,91.0,91.0,45,0 days 00:00:00.045823,0 days 00:00:00.272434,0 days 00:00:00.013950
37,8,3,256,256,128,0.5,7,3,0 days 00:00:00.010789,0 days 00:00:44.835717,95.0,95.0,80,0 days 00:00:00.036029,0 days 00:00:00.279430,0 days 00:00:00.014253
38,8,3,256,256,128,0.5,7,4,0 days 00:00:00.010789,0 days 00:00:33.676585,96.0,96.0,80,0 days 00:00:00.061465,0 days 00:00:00.279165,0 days 00:00:00.013980
39,8,3,256,256,128,0.5,7,5,0 days 00:00:00.010789,0 days 00:00:42.703949,93.0,93.0,80,0 days 00:00:00.036323,0 days 00:00:00.279494,0 days 00:00:00.014285
40,9,3,256,256,192,0.25,2,1,0 days 00:00:00.008040,0 days 00:00:23.385203,91.0,91.0,51,0 days 00:00:00.044870,0 days 00:00:00.276360,0 days 00:00:00.001063
41,9,3,256,256,192,0.25,2,2,0 days 00:00:00.008040,0 days 00:00:31.644821,91.0,91.0,51,0 days 00:00:00.038155,0 days 00:00:00.267842,0 days 00:00:00.001025
42,9,3,256,256,192,0.25,2,3,0 days 00:00:00.008040,0 days 00:00:25.316735,86.0,86.0,71,0 days 00:00:00.043721,0 days 00:00:00.264372,0 days 00:00:00.001044
43,9,3,256,256,192,0.25,2,4,0 days 00:00:00.008040,0 days 00:00:20.120230,87.0,87.0,37,0 days 00:00:00.047834,0 days 00:00:00.271774,0 days 00:00:00.001025
44,9,3,256,256,192,0.25,2,5,0 days 00:00:00.008040,0 days 00:00:14.888733,84.0,83.0,36,0 days 00:00:00.047311,0 days 00:00:00.262008,0 days 00:00:00.001011
45,10,3,256,256,192,0.25,3,1,0 days 00:00:00.008040,0 days 00:00:45.885941,93.0,93.0,80,0 days 00:00:00.044440,0 days 00:00:00.280633,0 days 00:00:00.002010
46,10,3,256,256,192,0.25,3,2,0 days 00:00:00.008040,0 days 00:00:35.151188,87.0,87.0,62,0 days 00:00:00.049283,0 days 00:00:00.273864,0 days 00:00:00.002055
47,10,3,256,256,192,0.25,3,3,0 days 00:00:00.008040,0 days 00:00:38.413455,88.0,88.0,65,0 days 00:00:00.038088,0 days 00:00:00.269050,0 days 00:00:00.002011
48,10,3,256,256,192,0.25,3,4,0 days 00:00:00.008040,0 days 00:00:05.952773,69.0,56.99999999999999,15,0 days 00:00:00.052432,0 days 00:00:00.271907,0 days 00:00:00.001951
49,10,3,256,256,192,0.25,3,5,0 days 00:00:00.008040,0 days 00:00:25.765819,89.0,89.0,46,0 days 00:00:00.043204,0 days 00:00:00.288939,0 days 00:00:00.002003
50,11,3,256,256,192,0.25,5,1,0 days 00:00:00.008040,0 days 00:00:05.075813,73.0,78.0,13,0 days 00:00:00.048629,0 days 00:00:00.285803,0 days 00:00:00.004940
51,11,3,256,256,192,0.25,5,2,0 days 00:00:00.008040,0 days 00:00:18.320150,86.0,87.0,44,0 days 00:00:00.037400,0 days 00:00:00.271065,0 days 00:00:00.004956
52,11,3,256,256,192,0.25,5,3,0 days 00:00:00.008040,0 days 00:00:46.068353,95.0,95.0,80,0 days 00:00:00.041676,0 days 00:00:00.279555,0 days 00:00:00.005033
