,NExp,NMFCC,Nfft,NwinL,NhopL,Overlap,Ksize,NRep,AVGPreprocesTime,TrainTime,F1Score,TestAcc,EpochsRan,VimPreprocessTime,VimPredictTime,VimTFLitePredictTime
28,6,3,256,256,128,0.5,3,4,0 days 00:00:00.010766,0 days 00:00:39.161524,86.0,85.0,55,0 days 00:00:00.036238,0 days 00:00:00.273041,0 days 00:00:00.002992
29,6,3,256,256,128,0.5,3,5,0 days 00:00:00.010766,0 days 00:00:10.616274,67.0,55.00000000000001,17,0 days 00:00:00.025820,0 days 00:00:00.272176,0 days 00:00:00.002967
30,7,3,256,256,128,0.5,5,1,0 days 00:00:00.010766,0 days 00:00:20.248705,55.00000000000001,68.0,15,0 days 00:00:00.051878,0 days 00:00:00.278983,0 days 00:00:00.007509
31,7,3,256,256,128,0.5,5,2,0 days 00:00:00.010766,0 days 00:01:08.843651,95.0,96.0,80,0 days 00:00:00.047606,0 days 00:00:00.276913,0 days 00:00:00.007452
32,7,3,256,256,128,0.5,5,3,0 days 00:00:00.010766,0 days 00:01:34.805554,95.0,96.0,73,0 days 00:00:00.026239,0 days 00:00:00.276095,0 days 00:00:00.007301
33,7,3,256,256,128,0.5,5,4,0 days 00:00:00.010766,0 days 00:00:11.532860,78.0,80.0,15,0 days 00:00:00.050321,0 days 00:00:00.279344,0 days 00:00:00.007428
34,7,3,256,256,128,0.5,5,5,0 days 00:00:00.010766,0 days 00:00:11.103376,32.0,60.0,14,0 days 00:00:00.059438,0 days 00:00:00.281980,0 days 00:00:00.007460
35,8,3,256,256,128,0.5,7,1,0 days 00:00:00.010766,0 days 00:01:50.694782,97.0,97.0,80,0 days 00:00:00.035104,0 days 00:00:00.288134,0 days 00:00:00.014253
36,8,3,256,256,128,0.5,7,2,0 days 00:00:00.010766,0 days 00:01:37.496221,97.0,97.0,70,0 days 00:00:00.041331,0 days 00:00:00.274089,0 days 00:00:00.014547
37,8,3,256,256,128,0.5,7,3,0 days 00:00:00.010766,0 days 00:01:09.780208,97.0,97.0,55,0 days 00:00:00.029337,0 days 00:00:00.274338,0 days 00:00:00.014226
38,8,3,256,256,128,0.5,7,4,0 days 00:00:00.010766,0 days 00:01:35.203148,95.0,96.0,80,0 days 00:00:00.020762,0 days 00:00:00.281568,0 days 00:00:00.014410
39,8,3,256,256,128,0.5,7,5,0 days 00:00:00.010766,0 days 00:01:27.498098,97.0,97.0,69,0 days 00:00:00.043538,0 days 00:00:00.295367,0 days 00:00:00.014987
40,9,3,256,256,192,0.25,2,1,0 days 00:00:00.013098,0 days 00:01:12.005538,85.0,86.0,80,0 days 00:00:00.045113,0 days 00:00:00.281577,0 days 00:00:00.000933
41,9,3,256,256,192,0.25,2,2,0 days 00:00:00.013098,0 days 00:01:20.607094,90.0,90.0,80,0 days 00:00:00.048517,0 days 00:00:00.269770,0 days 00:00:00.001006
42,9,3,256,256,192,0.25,2,3,0 days 00:00:00.013098,0 days 00:00:08.781870,60.0,68.0,16,0 days 00:00:00.032437,0 days 00:00:00.267813,0 days 00:00:00.000994
43,9,3,256,256,192,0.25,2,4,0 days 00:00:00.013098,0 days 00:00:10.045817,71.0,62.0,19,0 days 00:00:00.046983,0 days 00:00:00.265549,0 days 00:00:00.001037
44,9,3,256,256,192,0.25,2,5,0 days 00:00:00.013098,0 days 00:00:56.163506,90.0,90.0,80,0 days 00:00:00.043409,0 days 00:00:00.268677,0 days 00:00:00.001056
45,10,3,256,256,192,0.25,3,1,0 days 00:00:00.013098,0 days 00:01:19.858994,94.0,94.0,80,0 days 00:00:00.047125,0 days 00:00:00.283117,0 days 00:00:00.001948
46,10,3,256,256,192,0.25,3,2,0 days 00:00:00.013098,0 days 00:01:17.912346,94.0,94.0,80,0 days 00:00:00.028373,0 days 00:00:00.271713,0 days 00:00:00.002038
47,10,3,256,256,192,0.25,3,3,0 days 00:00:00.013098,0 days 00:01:00.036815,93.0,93.0,80,0 days 00:00:00.053631,0 days 00:00:00.271469,0 days 00:00:00.002056
48,10,3,256,256,192,0.25,3,4,0 days 00:00:00.013098,0 days 00:00:06.204076,63.0,46.0,13,0 days 00:00:00.047308,0 days 00:00:00.270613,0 days 00:00:00.002047
49,10,3,256,256,192,0.25,3,5,0 days 00:00:00.013098,0 days 00:00:10.283821,62.0,52.0,17,0 days 00:00:00.029334,0 days 00:00:00.286699,0 days 00:00:00.001938
50,11,3,256,256,192,0.25,5,1,0 days 00:00:00.013098,0 days 00:00:51.244792,80.0,77.0,30,0 days 00:00:00.049061,0 days 00:00:00.273233,0 days 00:00:00.004979
51,11,3,256,256,192,0.25,5,2,0 days 00:00:00.013098,0 days 00:01:11.913033,95.0,95.0,80,0 days 00:00:00.047643,0 days 00:00:00.273500,0 days 00:00:00.005057
52,11,3,256,256,192,0.25,5,3,0 days 00:00:00.013098,0 days 00:00:08.966471,73.0,71.0,13,0 days 00:00:00.045290,0 days 00:00:00.273516,0 days 00:00:00.005191
53,11,3,256,256,192,0.25,5,4,0 days 00:00:00.013098,0 days 00:01:09.758021,93.0,94.0,80,0 days 00:00:00.038727,0 days 00:00:00.291729,0 days 00:00:00.004916
54,11,3,256,256,192,0.25,5,5,0 days 00:00:00.013098,0 days 00:01:23.403461,94.0,94.0,80,0 days 00:00:00.040792,0 days 00:00:00.274494,0 days 00:00:00.005020
55,12,3,256,256,192,0.25,7,1,0 days 00:00:00.013098,0 days 00:01:36.188056,95.0,95.0,80,0 days 00:00:00.033887,0 days 00:00:00.277256,0 days 00:00:00.009554
56,12,3,256,256,192,0.25,7,2,0 days 00:00:00.013098,0 days 00:01:33.297383,94.0,94.0,80,0 days 00:00:00.017194,0 days 00:00:00.282751,0 days 00:00:00.009717
57,12,3,256,256,192,0.25,7,3,0 days 00:00:00.013098,0 days 00:01:22.777598,94.0,94.0,80,0 days 00:00:00.045226,0 days 00:00:00.274464,0 days 00:00:00.009687
58,12,3,256,256,192,0.25,7,4,0 days 00:00:00.013098,0 days 00:01:24.944955,95.0,96.0,80,0 days 00:00:00.042111,0 days 00:00:00.274441,0 days 00:00:00.009458
59,12,3,256,256,192,0.25,7,5,0 days 00:00:00.013098,0 days 00:01:23.533710,94.0,94.0,80,0 days 00:00:00.024011,0 days 00:00:00.276035,0 days 00:00:00.009822
60,13,3,256,256,256,0.0,2,1,0 days 00:00:00.006736,0 days 00:00:11.998656,23.0,56.99999999999999,18,0 days 00:00:00.020563,0 days 00:00:00.276464,0 days 00:00:00.000753
61,13,3,256,256,256,0.0,2,2,0 days 00:00:00.006736,0 days 00:00:27.175351,79.0,80.0,43,0 days 00:00:00.033444,0 days 00:00:00.302287,0 days 00:00:00.000770
62,13,3,256,256,256,0.0,2,3,0 days 00:00:00.006736,0 days 00:00:37.430037,83.0,83.0,76,0 days 00:00:00.057465,0 days 00:00:00.270385,0 days 00:00:00.000786
63,13,3,256,256,256,0.0,2,4,0 days 00:00:00.006736,0 days 00:00:45.891488,84.0,85.0,80,0 days 00:00:00.032026,0 days 00:00:00.264102,0 days 00:00:00.000794
64,13,3,256,256,256,0.0,2,5,0 days 00:00:00.006736,0 days 00:00:39.742042,82.0,83.0,58,0 days 00:00:00.031178,0 days 00:00:00.271218,0 days 00:00:00.000767
65,14,3,256,256,256,0.0,3,1,0 days 00:00:00.006736,0 days 00:00:44.564986,88.0,87.0,58,0 days 00:00:00.038811,0 days 00:00:00.263271,0 days 00:00:00.001442
66,14,3,256,256,256,0.0,3,2,0 days 00:00:00.006736,0 days 00:00:44.695324,87.0,87.0,63,0 days 00:00:00.044511,0 days 00:00:00.273644,0 days 00:00:00.001574
67,14,3,256,256,256,0.0,3,3,0 days 00:00:00.006736,0 days 00:01:01.530726,87.0,87.0,71,0 days 00:00:00.039012,0 days 00:00:00.273242,0 days 00:00:00.001543
68,14,3,256,256,256,0.0,3,4,0 days 00:00:00.006736,0 days 00:00:35.280791,88.0,88.0,50,0 days 00:00:00.033510,0 days 00:00:00.267800,0 days 00:00:00.001455
69,14,3,256,256,256,0.0,3,5,0 days 00:00:00.006736,0 days 00:00:34.524710,83.0,81.0,50,0 days 00:00:00.031502,0 days 00:00:00.271649,0 days 00:00:00.001486
70,15,3,256,256,256,0.0,5,1,0 days 00:00:00.006736,0 days 00:00:33.706175,87.0,87.0,34,0 days 00:00:00.032434,0 days 00:00:00.273680,0 days 00:00:00.003749
71,15,3,256,256,256,0.0,5,2,0 days 00:00:00.006736,0 days 00:01:15.729886,92.0,93.0,80,0 days 00:00:00.028056,0 days 00:00:00.281179,0 days 00:00:00.003800
72,15,3,256,256,256,0.0,5,3,0 days 00:00:00.006736,0 days 00:01:12.367137,95.0,96.0,80,0 days 00:00:00.048764,0 days 00:00:00.269388,0 days 00:00:00.003821
73,15,3,256,256,256,0.0,5,4,0 days 00:00:00.006736,0 days 00:01:14.123613,91.0,92.0,80,0 days 00:00:00.036489,0 days 00:00:00.270553,0 days 00:00:00.003779
74,15,3,256,256,256,0.0,5,5,0 days 00:00:00.006736,0 days 00:01:16.742937,95.0,96.0,80,0 days 00:00:00.052681,0 days 00:00:00.284361,0 days 00:00:00.003902
75,16,3,256,256,256,0.0,7,1,0 days 00:00:00.006736,0 days 00:01:14.344174,92.0,92.0,70,0 days 00:00:00.036392,0 days 00:00:00.280591,0 days 00:00:00.007272
76,16,3,256,256,256,0.0,7,2,0 days 00:00:00.006736,0 days 00:01:25.717560,95.0,95.0,80,0 days 00:00:00.022760,0 days 00:00:00.266619,0 days 00:00:00.007248
77,16,3,256,256,256,0.0,7,3,0 days 00:00:00.006736,0 days 00:01:18.131265,93.0,94.0,75,0 days 00:00:00.015520,0 days 00:00:00.272917,0 days 00:00:00.007317
78,16,3,256,256,256,0.0,7,4,0 days 00:00:00.006736,0 days 00:01:11.305066,94.0,94.0,73,0 days 00:00:00.034411,0 days 00:00:00.278088,0 days 00:00:00.007395
79,16,3,256,256,256,0.0,7,5,0 days 00:00:00.006736,0 days 00:01:25.102561,94.0,94.0,80,0 days 00:00:00.032063,0 days 00:00:00.279331,0 days 00:00:00.007354
80,17,3,512,256,64,0.75,2,1,0 days 00:00:00.016468,0 days 00:00:14.438417,72.0,68.0,17,0 days 00:00:00.072140,0 days 00:00:00.267345,0 days 00:00:00.002822
81,17,3,512,256,64,0.75,2,2,0 days 00:00:00.016468,0 days 00:00:18.340632,78.0,81.0,21,0 days 00:00:00.069018,0 days 00:00:00.271329,0 days 00:00:00.002798
82,17,3,512,256,64,0.75,2,3,0 days 00:00:00.016468,0 days 00:00:14.247303,73.0,69.0,18,0 days 00:00:00.068321,0 days 00:00:00.276048,0 days 00:00:00.002768
83,17,3,512,256,64,0.75,2,4,0 days 00:00:00.016468,0 days 00:00:19.332738,81.0,83.0,25,0 days 00:00:00.054658,0 days 00:00:00.276295,0 days 00:00:00.002857
84,17,3,512,256,64,0.75,2,5,0 days 00:00:00.016468,0 days 00:00:19.555352,72.0,69.0,22,0 days 00:00:00.071331,0 days 00:00:00.277357,0 days 00:00:00.002738
85,18,3,512,256,64,0.75,3,1,0 days 00:00:00.016468,0 days 00:02:10.069296,90.0,90.0,80,0 days 00:00:00.060271,0 days 00:00:00.276844,0 days 00:00:00.005526
